Age,SLOCAsItIs,SLOCNoCommentPrettyPrinter,SLOCStandard,CommentCodeRation,Readability,SimpleReadability,NVAR,NCOMP,Mcclure,McCabe,McCabeWOCases,IndentSTD,MaximumBlockDepth,totalFanOut,uniqueFanOut,n1,n2,N1,N2,Vocabulary,Length,Volume,Difficulty,Effort,Time,HalsteadBugs,MaintainabilityIndex,isPrivate,isProtected,isDefault,isPublic,isStatic,isAbstract,isGetterSetter,SATD,Parameters,LocalVariables,EnclosedExpressions,MaxEnclosedNesting,Developers,ChangeAtMethodAge,ProjectAge,CommitDate-ProjectFirstDate,NewAdditions,DiffSizes,EditDistances,CriticalEditDistances,TangledCommit,TangledWMoveandFileRename,Buggycommiit,PotentiallyBuggycommit,RiskyCommit,file
1821,4,4,4,0,0.43495574593544,0.915283280908409,0,0,0,1,1,2,0,0,0,13,2,16,4,15,20,78.13781,13,1015.7915,56.43286,0.026045937,125.647964477539,0,0,0,1,0,0,0,0,1,0,0,0,jfarcand,0,1891,01/07/15-27/04/10,0,0,0,0,0,0,0,0,0,260.json
2606,3,3,3,0,0.355794787406921,0.955710077851836,0,0,0,1,1,1.89,0,0,0,9,2,10,2,11,12,41.51318,4.5,186.80931,10.378295,0.013837727,133.597229003906,0,0,0,1,0,0,0,0,0,0,0,0,jfarcand,0,1106,07/05/13-27/04/10,0,0,0,0,0,0,0,0,0,2930.json
3152,3#3#3#4#4,3#3#3#5#5,3#3#3#4#4,0.0#0.0#0.0#0.0#0.0,0.34300875663757324#0.34300875663757324#0.3266304135322571#0.45394930243492126#0.2848077118396759,0.5291419740480269#0.5291419740480269#0.4498258773881887#0.11587633172815373#0.0714871265157297,0#0#0#1#1,0#0#0#1#1,0#0#0#2#2,1#1#1#2#2,1#1#1#2#2,1.89#1.89#1.89#2.0#2.0,0#0#0#0#0,3#3#3#3#4,3#3#3#3#4,14.0#14.0#14.0#19.0#20.0,3.0#3.0#3.0#4.0#4.0,24.0#24.0#24.0#34.0#37.0,3.0#3.0#3.0#4.0#4.0,17.0#17.0#17.0#23.0#24.0,27.0#27.0#27.0#38.0#41.0,110.361496#110.361496#110.361496#171.89536#187.98346,7.0#7.0#7.0#9.5#10.0,772.53046#772.53046#772.53046#1633.0059#1879.8346,42.918358#42.918358#42.918358#90.72255#104.43526,0.036787163#0.036787163#0.036787163#0.05729845#0.062661156,128.51292419433594#128.51292419433594#128.51292419433594#121.31822204589844#120.85298919677734,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0,1#1#1#1#1,0#0#0#0#0,0#0#0#0#0,1#1#1#0#0,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0,jfarcand#jfarcand#jfarcand#Henrik Paul#jfarcand,0#4#101#668#668,559#563#660#1228#1228,07/11/11-27/04/10#11/11/11-27/04/10#16/02/12-27/04/10#06/09/13-27/04/10#06/09/13-27/04/10,0#0#3#1#1,0#0#6#1#2,0#0#12#55#6,0#0#0#59#6,0#30#18#12#13,0#5#4#12#13,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0,2527.json
3710,27#22#20#20#14#14#14#18#18#21#26#26#27#29#29#3#3,23#20#18#18#12#12#12#16#16#19#22#22#23#24#24#3#3,24#20#18#18#12#12#12#16#16#19#22#22#23#24#24#3#3,0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0,0.028664499521255493#0.08965042978525162#0.2930693030357361#0.2961536645889282#0.44579359889030457#0.4344792366027832#0.41652125120162964#0.09452926367521286#0.07087016850709915#0.004077803809195757#9.008125634863973E-4#8.973869844339788E-4#3.089337551500648E-4#0.030063990503549576#0.029841406270861626#5.474128993228078E-4#1.1863546387758106E-4,1.7758325392372555E-9#4.957167943627442E-8#1.157009773286976E-6#8.194010078671413E-7#2.035262893317752E-5#2.8636146726058788E-5#4.065165358894403E-6#4.256497814634258E-8#2.9115119129949814E-8#8.446962803456445E-10#1.8024702703806212E-10#1.7995159355091544E-10#1.2951774292204121E-11#9.194048466293838E-10#6.273665371053195E-10#0.1932584575858108#0.13966510452357744,6#5#4#4#4#4#5#5#5#9#6#6#8#6#6#0#0,7#5#4#4#4#4#6#7#7#8#8#8#9#9#9#0#0,13#10#8#8#8#8#11#12#12#17#14#14#17#15#15#0#0,7#6#5#5#3#3#3#4#4#5#5#5#6#6#6#1#1,7#6#5#5#3#3#3#4#4#5#5#5#6#6#6#1#1,3.87#3.6#3.56#3.56#2.75#2.75#2.75#3.46#3.46#3.48#3.45#3.45#3.38#3.46#3.46#1.89#1.89,2#2#2#2#1#1#1#2#2#2#2#2#3#2#2#0#0,12#11#8#8#8#8#9#13#13#17#18#18#19#17#17#1#1,9#8#6#6#6#6#7#9#9#13#14#14#15#13#13#1#1,41.0#41.0#39.0#40.0#36.0#35.0#37.0#39.0#39.0#41.0#43.0#43.0#44.0#41.0#42.0#17.0#15.0,16.0#14.0#12.0#12.0#10.0#10.0#10.0#14.0#14.0#11.0#12.0#12.0#13.0#12.0#12.0#6.0#7.0,131.0#113.0#98.0#99.0#75.0#74.0#82.0#103.0#104.0#124.0#134.0#134.0#144.0#135.0#136.0#24.0#24.0,42.0#34.0#31.0#31.0#27.0#27.0#28.0#37.0#38.0#44.0#50.0#50.0#54.0#50.0#50.0#9.0#12.0,57.0#55.0#51.0#52.0#46.0#45.0#47.0#53.0#53.0#52.0#55.0#55.0#57.0#53.0#54.0#23.0#22.0,173.0#147.0#129.0#130.0#102.0#101.0#110.0#140.0#142.0#168.0#184.0#184.0#198.0#185.0#186.0#33.0#36.0,1009.08997#849.85986#731.74286#741.0572#563.4033#554.6772#611.00476#801.9089#813.36475#957.6739#1063.7701#1063.7701#1154.9122#1059.6653#1070.409#149.27754#160.53954,53.8125#49.785713#50.375#51.666664#48.600002#47.25#51.8#51.535713#52.92857#82.0#89.58333#89.58333#91.38462#85.416664#87.5#12.75#12.857143,54301.652#42310.88#36861.547#38287.953#27381.402#26208.496#31650.047#41326.945#43050.234#78529.26#95296.07#95296.07#105541.22#90513.07#93660.79#1903.2887#2064.0798,3016.7585#2350.6045#2047.8638#2127.1084#1521.189#1456.0276#1758.3359#2295.9414#2391.6797#4362.7363#5294.226#5294.226#5863.401#5028.504#5203.377#105.73826#114.671104,0.33636332#0.28328663#0.24391429#0.24701907#0.18780111#0.1848924#0.20366825#0.26730296#0.2711216#0.31922463#0.35459006#0.35459006#0.38497075#0.35322177#0.35680303#0.04975918#0.053513177,81.93814849853516#86.01476287841797#88.72974395751953#88.66397094726562#97.11773681640625#97.19890594482422#96.69596862792969#90.39168548583984#90.31793212890625#86.45465087890625#83.5333251953125#83.5333251953125#82.1557388305664#81.9138412475586#81.86138916015625#126.9422836303711#126.56407165527344,0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0,1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1,0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0,3#3#3#3#3#3#3#3#3#3#3#3#3#3#3#3#3,2#2#2#2#2#2#2#2#2#2#3#3#4#3#3#0#0,0#0#0#0#0#0#2#2#2#2#2#2#2#2#2#0#0,0#0#0#0#0#0#1#1#1#1#1#1#1#1#1#0#0,jfarcand#jfarcand#Patrick#jfarcand#jfarcand#jfarcand#jfarcand#jfarcand#jfarcand#jfarcand#jfarcand#jfarcand#jfarcand#jfarcand#jfarcand#jfarcand#jfarcand,0#83#253#539#539#543#550#550#551#586#882#882#883#889#922#991#1098,2#85#255#541#541#545#552#552#553#588#884#884#885#891#924#993#1100,29/04/10-27/04/10#21/07/10-27/04/10#07/01/11-27/04/10#20/10/11-27/04/10#20/10/11-27/04/10#24/10/11-27/04/10#31/10/11-27/04/10#31/10/11-27/04/10#01/11/11-27/04/10#06/12/11-27/04/10#27/09/12-27/04/10#27/09/12-27/04/10#28/09/12-27/04/10#04/10/12-27/04/10#06/11/12-27/04/10#14/01/13-27/04/10#01/05/13-27/04/10,0#0#3#1#1#1#1#4#1#6#5#1#4#9#1#2#1,0#5#8#2#8#2#2#4#2#9#6#2#7#16#2#30#2,0#215#120#13#238#13#35#162#3#202#233#1#115#289#13#869#36,0#182#111#13#214#13#36#146#3#189#219#1#111#284#13#780#35,0#2#69#3#5#2#3#2#2#14#2#2#2#2#2#3#8,0#2#69#3#5#2#3#2#2#14#2#2#2#2#2#3#8,0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#1#0#0#0#1#1#1#0#1#1#0,0#0#0#0#0#0#1#0#0#0#1#1#1#0#1#1#0,794.json
3060,3#3,3#3,3#3,0.0#0.0,0.2354249209165573#0.23386812210083008,0.6931510536787713#0.7427968037426675,0#0,0#0,0#0,1#1,1#1,3.77#1.89,0#0,0#0,0#0,15.0#15.0,2.0#2.0,16.0#16.0,4.0#4.0,17.0#17.0,20.0#20.0,81.74926#81.74926,15.0#15.0,1226.2389#1226.2389,68.12438#68.12438,0.027249753#0.027249753,130.07347106933594#130.07347106933594,0#0,0#0,0#0,1#1,0#0,0#0,1#1,0#0,1#1,0#0,0#0,0#0,Sebastien Dionne#jfarcand,0#17,651#668,07/02/12-27/04/10#24/02/12-27/04/10,0#0,0#0,0#16,0#0,0#120,0#96,0#0,0#0,0#0,3191.json
3698,4,4,4,0,0.306119561195374,0.811384433719614,0,0,0,1,1,2,0,0,0,14,4,17,6,18,23,95.90828,10.5,1007.0369,55.946495,0.031969428,124.582389831543,0,0,0,1,0,0,0,0,1,0,0,0,jfarcand,0,14,11/05/10-27/04/10,0,0,0,0,0,0,0,0,0,26.json
1821,5#5,5#5,5#5,0.0#0.0,0.5175806283950806#0.4069935977458954,0.6043502051023468#0.6642407240832622,1#1,1#1,2#2,2#2,2#2,2.99#2.99,1#1,0#0,0#0,18.0#17.0,4.0#4.0,26.0#25.0,4.0#4.0,22.0#21.0,30.0#29.0,133.78294#127.377205,9.0#8.5,1204.0465#1082.7063,66.89147#60.15035,0.044594314#0.042459067,119.00676727294922#119.26190948486328,0#0,0#0,0#0,1#1,0#0,0#0,0#0,0#0,2#2,0#0,0#0,0#0,jfarcand#jfarcand,0#1794,1891#3685,01/07/15-27/04/10#29/05/20-27/04/10,0#1,0#2,0#8,0#8,0#48,0#48,0#0,0#0,0#0,326.json
2858,31#31#31#19#19#19#19#19#19,24#24#16#16#16#16#16#16#16,25#25#17#16#16#16#16#16#16,0.08#0.08#0.47058823529411764#0.0#0.0#0.0#0.0#0.0#0.0,0.001380621688440442#0.001380621688440442#0.04812733456492424#0.002384962746873498#6.095035932958126E-4#4.857461026404053E-4#4.898654879070818E-4#5.041084950789809E-4#7.039456395432353E-4,2.3356686338358035E-9#2.3356686338358035E-9#3.661571105727864E-4#2.2743764922641913E-6#2.569712144525325E-7#2.3656642654788276E-7#2.326321475997128E-7#2.2913448623746088E-7#4.926123720714504E-7,4#4#2#2#2#2#2#2#2,2#2#1#1#1#1#1#1#1,6#6#3#3#3#3#3#3#3,5#5#3#3#3#3#3#3#3,5#5#3#3#3#3#3#3#3,4.42#4.42#7.2#2.65#2.65#2.65#2.65#2.65#2.65,3#3#1#1#1#1#1#1#1,23#23#13#11#12#12#12#12#11,19#19#12#10#11#11#11#11#10,43.0#43.0#36.0#33.0#34.0#34.0#34.0#34.0#34.0,15.0#15.0#13.0#16.0#17.0#17.0#17.0#17.0#17.0,138.0#138.0#93.0#91.0#97.0#97.0#97.0#97.0#94.0,42.0#42.0#30.0#33.0#37.0#37.0#37.0#37.0#36.0,58.0#58.0#49.0#49.0#51.0#51.0#51.0#51.0#51.0,180.0#180.0#123.0#124.0#134.0#134.0#134.0#134.0#130.0,1054.4366#1054.4366#690.6093#696.224#760.105#760.105#760.105#760.105#737.4153,60.2#60.2#41.53846#34.03125#37.0#37.0#37.0#37.0#36.0,63477.086#63477.086#28686.848#23693.373#28123.885#28123.885#28123.885#28123.885#26546.95,3526.505#3526.505#1593.7137#1316.2985#1562.438#1562.438#1562.438#1562.438#1474.8306,0.35147887#0.35147887#0.2302031#0.23207466#0.25336832#0.25336832#0.25336832#0.25336832#0.2458051,81.50824737548828#81.50824737548828#90.41655731201172#91.3565673828125#90.90008544921875#90.90008544921875#90.90008544921875#90.90008544921875#91.05767822265625,0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0,1#1#1#1#1#1#1#1#1,0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0,1#1#1#1#1#1#1#1#1,3#3#3#3#3#3#3#3#3,0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0,Ryan Lubke#Ryan Lubke#Ryan Lubke#jfarcand#jfarcand#Ryan Lubke#jfarcand#jfarcand#jfarcand,0#2#2#37#51#226#1037#1037#2831,854#856#856#891#905#1080#1891#1891#3685,28/08/12-27/04/10#30/08/12-27/04/10#30/08/12-27/04/10#04/10/12-27/04/10#18/10/12-27/04/10#11/04/13-27/04/10#01/07/15-27/04/10#01/07/15-27/04/10#29/05/20-27/04/10,0#31#10#5#1#4#1#1#1,0#31#20#22#2#8#2#2#2,0#0#20#635#54#35#4#4#14,0#0#290#115#54#35#4#4#14,0#14#1#30#7#4#29#119#101,0#14#1#30#7#4#27#41#101,0#0#0#0#0#0#0#0#0,0#0#0#0#1#0#1#1#0,0#0#0#0#1#0#1#1#0,2812.json
3710,3,3,3,0,0.639763534069061,0.955875181633457,0,0,0,1,1,1.89,0,1,1,9,2,12,2,11,14,48.432045,4.5,217.9442,12.108011,0.016144015,132.795639038086,0,0,0,1,0,0,0,0,0,0,0,0,jfarcand,0,2,29/04/10-27/04/10,0,0,0,0,0,0,0,0,0,2253.json
1863,7,7,7,0,0.628755867481232,0.313799732695,1,1,2,2,2,2.56,1,3,3,17,6,32,9,23,41,185.46603,12.75,2364.692,131.37177,0.061822012,111.857322692871,0,0,0,1,0,0,0,0,1,1,0,0,jfarcand,0,1849,20/05/15-27/04/10,0,0,0,0,0,0,0,0,0,2013.json
